CSID,Class
6734834,BUS  101 A
6734834,ECON  170 B
6734834,HIST  153 A
6734834,IPE  201 C
6734834,SSI1  175 A
6734878,CHEM  110 F
6734878,CHEM  110 F
6734878,CHEM  110 FB
6734878,JAPN  201 A
6734878,JAPN  201 A
6734878,MATH  180 C
6734878,MATH  180 C
6734878,SSI1  176 A
6735142,ECON  170 C
6735142,MUS  101 A
6735142,MUS  103 A
6735142,MUS  109 A
6735142,MUS  168 A
6735142,MUS  274 A
6735142,SSI1  139 A
6735214,ENGL  199 A
6735214,GERM  201 B
6735214,PHYS  109 A
6735214,PHYS  109 AB
6735214,REL  204 A
6735214,SSI1  172 A
6735222,CHEM  110 C
6735222,CHEM  110 CA
6735222,GEOL  101 B
6735222,GEOL  101 BA
6735222,IPE  201 A
6735222,SSI1  160 A
6735509,PHIL  215 A
6735509,PSYC  101 B
6735509,SPAN  101 F
6735509,SPAN  101 F
6735509,SPAN  101 F
6735509,SSI1  108 A
6735516,FREN  210 A
6735516,MUS  101 A
6735516,MUS  103 B
6735516,MUS  168 D
6735516,MUS  288 A
6735516,PG  102 B
6735516,SSI1  195 A
6735718,FREN  201 C
6735718,HIST  153 A
6735718,SOAN  101 D
6735718,SSI1  144 A
6735725,CHEM  110 F
6735725,CHEM  110 F
6735725,CHEM  110 FB
6735725,FREN  201 B
6735725,MATH  160 H
6735725,SSI1  141 A
6735756,CHEM  115 A
6735756,CHEM  115 AB
6735756,HIST  291 B
6735756,PHIL  228 A
6735756,SSI1  128 C
6735766,CHEM  110 A
6735766,CHEM  110 AA
6735766,GEOL  101 B
6735766,GEOL  101 BA
6735766,MUS  270 A
6735766,PSYC  101 A
6735766,SSI1  165 A
6736077,AFAM  101 A
6736077,MATH  160 B
6736077,MATH  160 B
6736077,MATH  160 B
6736077,SPAN  201 H
6736077,SSI1  104 A
6736170,GERM  101 C
6736170,GERM  101 C
6736170,MATH  280 B
6736170,MATH  280 B
6736170,MUS  101 A
6736170,MUS  103 A
6736170,MUS  280 A
6736170,SSI1  138 B
6736188,ECON  170 F
6736188,LTS  200 B
6736188,SPAN  203 A
6736188,SPAN  203 A
6736188,SSI1  112 A
6736201,ENGL  212 B
6736201,FREN  201 A
6736201,MUS  105 A
6736201,SSI1  128 A
6736220,HIST  291 B
6736220,MATH  160 B
6736220,MATH  160 B
6736220,MATH  160 B
6736220,PG  102 B
6736220,SSI1  144 A
6736377,ALC  225 A
6736377,ENGL  212 C
6736377,FREN  201 C
6736377,MUS  276 A
6736377,SSI1  134 B
6736428,AFAM  101 B
6736428,PG  102 C
6736428,SSI1  177 A
6736434,FREN  210 A
6736434,GEOL  101 A
6736434,GEOL  101 AA
6736434,SOAN  102 B
6736434,SSI1  134 B
6736450,ECON  170 A
6736450,IPE  201 B
6736450,PE  104 A
6736450,SPAN  101 H
6736450,SSI1  138 C
6736478,ECON  170 G
6736478,MATH  280 A
6736478,MATH  280 A
6736478,SPAN  201 E
6736478,SSI1  118 B
6736770,CHEM  110 B
6736770,CHEM  110 BB
6736770,IPE  201 C
6736770,PE  103 B
6736770,SPAN  101 C
6736770,SSI1  128 A
6737246,CHEM  110 G
6737246,CHEM  110 G
6737246,CHEM  110 GA
6737246,GEOL  101 B
6737246,GEOL  101 BA
6737246,PE  187 A
6737246,SSI1  165 A
6737269,GERM  101 B
6737269,HIST  230 A
6737269,PE  125 B
6737269,PG  103 D
